Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(cm),,,Stationary test 21/02/2016
16417,0.009093165,-0.009389871,0.03256784,0,0,0,-8.182372,36.3615,-1000.271,0,,,
16484,0.009145525,-0.009389871,0.03260275,0,0,0,-8.161632,38.05309,-997.2813,0,,,
16549,0.009128072,-0.009389871,0.03265511,0,0,0,-7.468624,37.24726,-1004.976,0,,,
16614,0.009180432,-0.009424779,0.03269002,0,0,0,-8.22793,31.27528,-995.7881,0,,,
16679,0.009162978,-0.009407324,0.03277728,0,0,0,-8.156817,33.34363,-995.4624,0,,,
16744,0.009162978,-0.009407324,0.03281219,0,0,0,-8.05002,37.46299,-996.166,0,,,
16808,0.009128072,-0.009424779,0.03282964,0,0,0,-8.051197,37.31281,-997.3125,0,,,
16874,0.009110619,-0.009459685,0.03289945,0,0,0,-8.03874,37.4127,-996.7217,0,,,
16939,0.009058258,-0.009424779,0.032882,0,0,0,-8.084566,37.30754,-1003.177,0,,,
17004,0.009110619,-0.009442232,0.03291691,0,0,0,-8.08881,38.12705,-998.1362,0,,,
17069,0.009075711,-0.009442232,0.03298672,0,0,0,-6.568532,37.27427,-1000.945,0,,,
17134,0.009005899,-0.009302605,0.03303908,0,0,0,-7.297057,37.34313,-996.4541,0,,,
17198,0.008988446,-0.009337512,0.03303908,0,0,0,-8.164309,37.45289,-996.4814,0,,,
17264,0.00895354,-0.009372418,0.03310889,0,0,0,-8.109642,37.29732,-996.6841,0,,,
17329,0.008901179,-0.009302605,0.03316126,0,0,0,0.2345184,37.11153,-996.6284,0,,,
17394,0.00884882,-0.009058258,0.03321362,0,0,0,-0.2724493,37.01657,-1003.741,0,,,
17459,0.008831366,-0.008988446,0.03323107,0,0,0,-6.799479,37.14869,-1004.435,0,,,
