Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,30 second flight 25/02/16. Flat trim and calibrate before takeoff
11765,-0.004677482,0.006213372,0.06967355,-0.03142836,-0.1038284,0,-15.67399,48.94878,-930.8014,0.662,,
11842,-0.004363323,0.003577925,0.06866125,-0.02117372,-0.06815663,0,-16.21955,48.26104,-948.6472,0.657,,
11920,-0.006649705,0.002530727,0.06749188,-0.03176466,-0.0502151,0,-3.491828,55.68816,-952.8851,0.655,,
11998,-0.007766715,0.002513274,0.06675884,-0.01448334,-0.0579906,0,-12.02715,57.48503,-961.762,0.65,,
12076,-0.008970993,0.001692969,0.06508333,0.009007897,-0.1294383,0,-1.154981,62.50388,-973.509,0.641,,
12154,-0.009424779,0.00275762,0.06504842,-0.001206992,-0.14178,0,2.409505,54.62295,-991.3737,0.633,,
12232,0.003752458,0.003909538,0.06370452,0.001723739,-0.1433841,0,-2.919138,54.52135,-1008.944,0.615,,
12310,0.01841322,0.005026548,0.06305874,-0.01827471,-0.0821092,0,-10.44808,52.4245,-999.3426,0.607,,
12388,0.03316126,0.004101524,0.06284931,-0.003191015,-0.04749628,0,-14.88213,56.60188,-1018.21,0.594,,
12466,0.04396484,0.003089233,0.06250024,0.009640397,-0.04865149,0,-4.802848,51.52515,-1036.318,0.582,,
12544,0.05059709,0.002600541,0.06269222,0.01024631,-0.03391476,0,-13.64463,43.36094,-1024.996,0.575,,
12622,0.05342453,0.000977384,0.06279695,-0.003916505,0.02969604,0,-6.529378,47.76189,-1035.165,0.573,,
12701,0.05436701,-0.000663225,0.06295403,0.009480079,0.04611729,0,-16.37916,44.76354,-1022.862,0.57,,
12778,0.04269075,0.001169371,0.06344271,0.01570849,0.1116607,0,-7.908721,40.02576,-1018.008,0.572,,
12856,0.02509783,0.000628319,0.06347763,0.006670145,0.1732385,0,-12.40464,41.75817,-1007.577,0.571,,
12935,0.009442232,0.001902409,0.06386159,0.00167637,0.1980936,0,-12.68981,29.35192,-1010.115,0.571,,
13012,-0.000872665,0.003857178,0.06436774,0.01233809,0.1439426,0,-18.4848,26.21033,-1003.927,0.574,,
13090,-0.006649705,0.006894051,0.06506588,0.0054928,0.1683421,0,-10.06179,49.52057,-1005.569,0.578,,
13169,-0.01792453,0.008866273,0.06503097,0.01826915,0.1897646,0,-14.19305,34.82995,-989.4051,0.584,,
13246,-0.02642429,0.01213004,0.06555457,0.01247518,0.143814,0,-14.92339,33.2378,-1001.132,0.588,,
13324,-0.02684316,0.01246165,0.06567674,0.00541888,0.1365616,0,-5.557794,35.44931,-991.6749,0.593,,
13403,-0.02370157,0.01213004,0.06538004,0.009621585,0.09688796,0,-0.8944824,42.40378,-1005.323,0.597,,
13480,-0.01984439,0.009424779,0.06480408,0.01656096,0.08879101,0,-12.21572,36.63456,-984.0757,0.605,,
13558,-0.01724385,0.007417649,0.06454227,-0.008261831,0.06489302,0,-9.653896,42.12732,-1003.418,0.611,,
13637,-0.01174607,0.004433136,0.06368706,0.005708399,0.05495631,0,-18.51508,30.28833,-991.1967,0.618,,
13714,-0.0084823,0.001047197,0.06300639,-0.00613303,0.05824779,0,-16.98618,37.02074,-989.638,0.623,,
13792,0.000872665,-0.00127409,0.06244788,-0.003610627,0.05951002,0,-12.7995,45.45105,-998.6222,0.627,,
13870,0.01122247,-0.001500983,0.06187192,-0.006265905,0.07034883,0,-12.37114,53.81914,-995.9952,0.633,,
13949,0.01424189,-0.002879793,0.06164503,-0.006674761,0.05688579,0,-9.587915,44.0142,-992.005,0.639,,
