Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),,,Yaw(degrees)
15015,0.02062979,0.01099557,1.775611,-0.006570411,-0.4403101,0,6.794997,78.04623,-993.5227,,,101.7350164
15093,0.02628466,0.02106612,1.776623,-0.01679588,-0.4027197,0,-0.7416393,76.87722,-984.9329,,,101.7929997
15182,0.03186971,0.03385939,1.777775,-0.02589737,-0.3453315,0,-12.60939,68.16607,-974.756,,,101.8590044
15249,0.03785619,0.04194026,1.779224,-0.0634236,-0.3047274,0,0.8682715,68.65459,-978.7639,,,101.942026
15328,0.04539602,0.04726351,1.78144,-0.08025466,-0.2422697,0,-2.396805,66.46256,-979.4852,,,102.0689935
15407,0.05152212,0.04942773,1.783116,-0.09994324,-0.1667146,0,6.307423,68.85746,-988.4622,,,102.1650212
15483,0.05438446,0.04860742,1.784564,-0.1224374,-0.1234481,0,8.712743,70.1596,-986.0244,,,102.2479855
15561,0.05384341,0.04769985,1.785681,-0.1595203,-0.03331823,0,15.34339,58.04731,-972.3361,,,102.3119849
15639,0.0553793,0.04595452,1.787374,-0.1887482,0.02882368,0,16.62967,44.53427,-985.6885,,,102.4089866
15717,0.0577704,0.04138176,1.788526,-0.238754,0.08674081,0,8.245688,56.39169,-986.3979,,,102.4749913
15801,0.06021386,0.02881539,1.789503,-0.2754726,0.1475047,0,22.58819,48.32405,-1018.244,,,102.5309693
15873,0.06391396,0.01291544,1.789661,-0.3481212,0.2129973,0,23.41546,27.7876,-1032.319,,,102.5400221
15951,0.06633997,0.000314159,1.790394,-0.3470255,0.2855503,0,17.54823,43.70325,-1040.952,,,102.5820199
16029,0.06588618,-0.01209513,1.791458,-0.3575191,0.361951,0,0,0,0,,,102.6429826
16107,0.06375688,-0.02631957,1.791668,-0.3662298,0.432314,0,30.73493,18.45253,-1046.172,,,102.6550147
16185,0.06099926,-0.04342379,1.791266,-0.3288771,0.4728127,0,18.61977,16.9552,-1052.884,,,102.6319818
16263,0.0503702,-0.0524995,1.792314,-0.2905813,0.5181558,0,17.31602,17.46298,-1081.811,,,102.6920278
16341,0.02708751,-0.0559378,1.792837,-0.2105972,0.5141745,0,9.737775,12.73771,-1043.454,,,102.7219935
16419,0.00546288,-0.05384341,1.793727,-0.113086,0.5172486,0,3.566429,2.580864,-1025.859,,,102.7729867
16497,-0.007243116,-0.0511556,1.794286,-0.09251283,0.4866676,0,6.16671,2.518707,-1033.83,,,102.805015
16576,-0.02377138,-0.04134685,1.796467,-0.04651076,0.4343979,0,5.814456,10.5138,-1050.663,,,102.9299771
16668,-0.0392001,-0.03181735,1.796869,-0.05013384,0.4282743,0,-11.32757,0.08856606,-1005.736,,,102.95301
16731,-0.06403613,-0.02577851,1.795036,-0.02124454,0.4057423,0,-12.737,16.01598,-473.8232,,,102.8479869
16809,-0.07648033,-0.02138028,1.791755,0.005998377,0.416566,0,-12.78308,21.31519,-657.5918,,,102.6599994
16887,-0.07677703,-0.01158899,1.790987,0.0383182,0.5405862,0,-21.72848,13.96966,-828.8121,,,102.6159963
16965,-0.07101744,-0.007853981,1.791737,0.05116431,0.5251689,0,-14.3659,23.22472,-855.3198,,,102.6589681
17043,-0.05939355,-0.003665191,1.793204,0.0626353,0.4912252,0,-7.261779,17.30954,-785.278,,,102.743021
17121,-0.0461465,-0.002303835,1.794914,0.09617264,0.4850281,0,-3.828713,18.63328,-761.3759,,,102.8409968
17199,-0.0280649,-0.003839724,1.797305,0.1394041,0.4835557,0,-4.93886,38.23039,-834.8693,,,102.977991
