Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^3),AccY(g x 10^3),AccZ(g x 10^3),Altitude(m),,,,First odometry csv sampled at 200HZ which is 5ms
1076,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1081,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1086,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1091,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1096,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1101,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1106,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1111,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1116,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1122,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1126,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1131,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1136,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1141,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1146,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1151,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1156,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1161,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1166,-0.01066396,0.006195919,0.06257005,0,0,0,0,0,0,0,,,,
1171,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1176,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1181,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1186,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1191,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1196,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1201,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1206,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1211,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1216,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1221,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1226,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1231,-0.01073377,0.006195919,0.06262241,0,0,0,0,0,0,0,,,,
1236,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1241,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1246,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1251,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1256,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1261,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1266,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1272,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1276,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1281,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1287,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1292,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1297,-0.01076868,0.006178466,0.06267478,0,0,0,0,0,0,0,,,,
1302,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1307,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1312,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1317,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1322,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1327,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1332,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1337,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
