Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^-3),AccY(g x 10^-3),AccZ(g x 10^-3),Altitude(m)
789,0.0001047198,0.0003316125,0.004101524,0,0,0,-0.3927333,38.55241,-980.9722,0
794,0.0001047198,0.0003316125,0.004101524,0,0,0,-0.3927333,38.55241,-980.9722,0
799,8.726646E-05,0.0003490658,0.004101524,0,0,0,-0.4418295,37.56517,-981.2876,0
804,8.726646E-05,0.0003490658,0.004101524,0,0,0,-0.4418295,37.56517,-981.2876,0
809,6.981317E-05,0.0003490658,0.004101524,0,0,0,-0.5160717,37.64535,-981.2412,0
814,5.235988E-05,0.0003490658,0.004118977,0,0,0,-0.5160717,37.64535,-981.2412,0
819,3.490658E-05,0.0003490658,0.004118977,0,0,0,-0.5652411,37.60537,-981.0269,0
824,1.745329E-05,0.0003490658,0.004118977,0,0,0,-0.6759089,35.65956,-981.0469,0
829,0,0.0003490658,0.004118977,0,0,0,-0.7367058,34.17068,-981.1602,0
834,0,0.0003490658,0.004118977,0,0,0,-0.8867963,30.27256,-979.4351,0
839,0,0.0003490658,0.004118977,0,0,0,-0.9153534,28.9536,-977.7441,0
844,1.745329E-05,0.0003490658,0.004118977,0,0,0,-0.9322346,28.42938,-974.2271,0
849,1.745329E-05,0.0003490658,0.004101524,0,0,0,-0.8353394,30.36161,-973.6226,0
854,1.745329E-05,0.0003490658,0.004101524,0,0,0,-0.8353394,30.36161,-973.6226,0
859,3.490658E-05,0.0003316125,0.004101524,0,0,0,-0.8069209,29.75344,-980.8652,0
864,3.490658E-05,0.0003316125,0.004101524,0,0,0,-0.8418913,28.97008,-980.3286,0
869,3.490658E-05,0.0003316125,0.004101524,0,0,0,-0.8418913,28.97008,-980.3286,0
874,3.490658E-05,0.0003316125,0.004101524,0,0,0,-0.8186224,29.30881,-980.7471,0
879,3.490658E-05,0.0003316125,0.00408407,0,0,0,-0.8244445,29.69303,-977.687,0
884,3.490658E-05,0.0003316125,0.00408407,0,0,0,-0.8283899,29.49825,-978.5439,0
889,3.490658E-05,0.0003316125,0.00408407,0,0,0,-0.8349093,29.37346,-981.3706,0
894,3.490658E-05,0.0003316125,0.00408407,0,0,0,-0.8349093,29.37346,-981.3706,0
899,5.235988E-05,0.0003141593,0.00408407,0,0,0,-0.836968,29.38553,-982.9756,0
904,5.235988E-05,0.0003141593,0.004066617,0,0,0,-0.8673077,29.50588,-980.4316,0
909,6.981317E-05,0.0003141593,0.004066617,0,0,0,-0.8069144,31.37691,-980.2671,0
914,6.981317E-05,0.0003141593,0.004066617,0,0,0,-0.8069144,31.37691,-980.2671,0
919,5.235988E-05,0.0003141593,0.004066617,0,0,0,-0.7352777,32.88425,-981.2524,0
924,5.235988E-05,0.0003141593,0.00408407,0,0,0,-0.8422846,30.0706,-980.9375,0
929,6.981317E-05,0.0003316125,0.00408407,0,0,0,-0.8882561,28.81621,-981.1665,0
934,6.981317E-05,0.0003316125,0.00408407,0,0,0,-0.9217742,28.23218,-980.8223,0
939,6.981317E-05,0.0003316125,0.00408407,0,0,0,-0.9217742,28.23218,-980.8223,0
944,6.981317E-05,0.0003490658,0.004066617,0,0,0,-0.928836,29.25334,-981.1665,0
949,8.726646E-05,0.0003490658,0.004066617,0,0,0,-0.920459,30.29094,-981.0039,0
954,8.726646E-05,0.0003490658,0.004066617,0,0,0,-0.9951665,29.05397,-981.1216,0
959,0.0001047198,0.0003490658,0.004066617,0,0,0,-0.9929708,29.20592,-980.9868,0
964,0.0001047198,0.0003316125,0.004066617,0,0,0,-0.9566486,29.56774,-981.0454,0
969,0.0001047198,0.0003316125,0.004066617,0,0,0,-0.9566486,29.56774,-981.0454,0
974,0.0001047198,0.0003316125,0.004066617,0,0,0,-0.7883409,31.29019,-981.0332,0
979,0.0001047198,0.0003316125,0.004066617,0,0,0,-0.7883409,31.29019,-981.0332,0
984,0.0001047198,0.0003316125,0.004066617,0,0,0,-0.6651152,32.82577,-981.0908,0
989,8.726646E-05,0.0003316125,0.004066617,0,0,0,-0.4687532,36.31231,-981.0508,0
994,8.726646E-05,0.0003316125,0.004066617,0,0,0,-0.4301781,36.52522,-981.0664,0
999,6.981317E-05,0.0003316125,0.004066617,0,0,0,-0.4253009,36.56425,-981.0825,0
1004,5.235988E-05,0.0003316125,0.004066617,0,0,0,-0.5370507,34.43676,-981.0537,0
1009,5.235988E-05,0.0003316125,0.004066617,0,0,0,-0.5570462,34.83049,-981.0776,0
1014,1.745329E-05,0.0003316125,0.004066617,0,0,0,-0.5237834,36.548,-981.0659,0
1020,0,0.0003316125,0.004066617,0,0,0,-0.5091761,37.61308,-981.0718,0
1025,-1.745329E-05,0.0003316125,0.004049164,0,0,0,-0.6266931,35.2456,-981.064,0
1030,-1.745329E-05,0.0003316125,0.004031711,0,0,0,-0.6760219,33.93686,-981.0679,0
1035,-1.745329E-05,0.0003316125,0.004031711,0,0,0,-0.6760219,33.93686,-981.0679,0
1040,-1.745329E-05,0.0003316125,0.004031711,0,0,0,-0.88315,28.98452,-981.0527,0
1045,-1.745329E-05,0.0003316125,0.004031711,0,0,0,-0.9108968,28.55931,-981.0522,0
